street_number,street_name,zip_code,latitude,longitude,people_count
46,OVERLOOK DR,01062,42.313966007118,-72.691868540222,1
222,RIVER RD,01053,42.364896001464,-72.708008984433,68
18,LEENO TER,01062,42.34635263325,-72.67426335843,2
25,COLES MEADOW RD,01060,42.355962191874,-72.640937498138,4
266,GROVE ST,010603680,42.306534905129,-72.652474601126,3
1105,BURTS PIT RD,01062,42.310792199481,-72.695722036388,2
29,WINTER ST,01060,42.328295708787,-72.637221381365,2
10,MASSASOIT ST,01060,42.324811770732,-72.647293495316,1
115,BRIDGE ST,01060,42.323784945683,-72.62464089907,7
223,CRESCENT ST,01060,42.324600840139,-72.643002966718,1
72,BARRETT ST,01060,42.33257186242,-72.640499040783,29
57,WESTWOOD TER,01062,42.310858751792,-72.701355764969,1
96,ROUND HILL RD,01060,42.325235685485,-72.640076509044,2
337,PROSPECT ST,01060,42.330519176242,-72.64797184274,1
58,HINCKLEY ST,01062,42.325020312483,-72.661337709362,1
65,RESERVOIR RD,010539731,42.35430391615,-72.705628356294,3
3,ASPEN LN,01060,42.339147381642,-72.652174612811,2
203,SOUTH ST,01060,42.310985611896,-72.636318231298,1
31,POWELL ST,01062,42.341999282288,-72.670131080165,1
9,PINE BROOK CURVE,01060,42.338667643414,-72.640938252509,2
118,LAKE ST,01062,42.343689534973,-72.673683582187,1
41,STERLING RD,01062,42.346662302663,-72.67239696005,1
41,DUNPHY DR,010629600,42.302111691005,-72.676483389305,5
15,HATFIELD ST,01060,42.33317439553,-72.655571211435,1
22,NORTHERN AVE,01060,42.329459200767,-72.628840064923,1
251,ACREBROOK DR,01062,42.315710113531,-72.691485487247,2
1,ARLINGTON PL,01060,42.326189462247,-72.645044295418,1
23,CRABAPPLE LN,01060,42.340123579996,-72.652921691841,1
94,AUDUBON RD,01053,42.355624987909,-72.707482600914,2
18,CEDAR ST,01060,42.306705434949,-72.64200904064,1
288,AUDUBON RD,01053,42.358456730078,-72.714208072384,1
15,HAROLD ST,01062,42.346712384534,-72.667252399338,2
137,SOUTH MAIN ST,01062,42.33340208993,-72.664734056529,4
67,COUNTRY WAY,01062,42.352370085359,-72.676451957168,1
33,WASHINGTON AVE,01060,42.32189369496,-72.646992165897,4
26,MAPLE ST,01062,42.332338594055,-72.672347925916,1
5,LINDEN ST,010603207,42.325147968868,-72.630059967111,2
938,WESTHAMPTON RD,01062,42.298862069053,-72.715531993991,2
39,O'DONNELL DR,01062,42.3127512598,-72.698639273969,1
106,STRAW AVE,01062,42.33807588105,-72.662918033387,2
170,WILLOW ST,01062,42.325205426815,-72.670432074308,2
146,CHESTERFIELD RD,010539715,42.342350903127,-72.700188501133,2
73,HAWTHORN LN,01060,42.341883486296,-72.65111161985,1
56,MARKET ST,01060,42.322436716558,-72.629921581889,2
233,NORTH ST,01060,42.330041826856,-72.626713576087,2
312,HATFIELD ST,01060,42.341450393359,-72.644991908523,5
824,RYAN RD,01062,42.310643714066,-72.704025987864,3
35,SPRUCE HILL AVE,01062,42.32467778601,-72.687754534505,2
202,STATE ST,01060,42.324850788491,-72.635520106477,2
19,CAROLYN ST,010621019,42.34564105158,-72.66794566655,5
17,FAIR ST,01060,42.324949653039,-72.623808911361,1
291,PROSPECT ST,01060,42.330013076928,-72.645053515511,2
56,SPRING ST,01062,42.332029553285,-72.681657035221,1
80,BARRETT ST,01060,42.331902274085,-72.641680972949,54
116,NORTH ELM ST,01060,42.329011984323,-72.650753042032,1
455,FLORENCE RD,01062,42.315921547038,-72.672629474044,1
19,CRABAPPLE LN,01060,42.339906279156,-72.652477534792,1
24,CRABAPPLE LN,01060,42.340123579996,-72.652921691841,1
32,PARK ST,01062,42.333698515936,-72.674584385322,3
15,PIONEER KNLS,01062,42.322393046842,-72.687933488138,1
8,CHARLES ST,01060,42.307315386044,-72.641452985183,3
507,KENNEDY RD,01053,42.35529427992,-72.719445169307,2
97,HINCKLEY ST,01062,42.326831893216,-72.661459163139,1
72,UPLAND RD,01053,42.355805785561,-72.695774088006,1
71,STATE ST,010603055,42.320812848546,-72.633821932894,4
244,DAMON RD,01060,42.337158356019,-72.627025215247,3
88,VERNON ST,01060,42.320582052842,-72.650990166073,2
514,PARK HILL RD,01062,42.290911666253,-72.693584734897,2
5,HEFFERNAN ST,01053,42.350362535729,-72.691988904351,1
106,PROSPECT AVE,01060,42.33431190361,-72.649581000511,1
78,SPRUCE HILL AVE,01062,42.323998348938,-72.689520182409,3
28,EVERGREEN RD,01053,42.357181591148,-72.697337815863,3
57,FIRETHORN LN,01060,42.340240507545,-72.65094197013,2
32,BLACK BIRCH TRAIL,01062,42.30845578588,-72.672690913394,5
65,REDFORD DR,01062,42.312657885399,-72.694347991,1
