Num,Street,Ward,Year,count,name_label,Location,address,Addr,person_id,wkt
NA,Industrial Dr Cir,1,2023,2,2 Dawn Redwood,RoW,Industrial Dr Cir,Industrial Dr Cir,13,POINT (106830 898886.7)
NA,Industrial Dr Cir,1,2025,1,1 Bald Cypress,RoW,Industrial Dr Cir,Industrial Dr Cir,13,POINT (106829.9 898875.2)
NA,Jackson St,1,2023,1,1 Bloodgood London Plane,School,Jackson St,Jackson St,14,POINT (105603.2 898459)
NA,Moser St,2,2023,5,5 Sweetgum 'Moraine',Tree Belt,Moser St,Moser St,15,POINT (105479.3 896504.5)
NA,Musante Dr,2,2023,1,1 Yellowwood,Tree Belt,Musante Dr,Musante Dr,15,POINT (105268 896417.6)
NA,Park St Cemetery,7,2024,3,3 Tulip Tree 'Emerald City',RoW,Park St Cemetery,Park St Cemetery,11,POINT (103213 898884.3)
NA,Prince St,2,2023,3,2 Silver Linden<br>1 Winterking Hawthorne,RoW,Prince St,Prince St,15,POINT (105206.5 896221)
NA,Prospect Heights,1,2024,1,1 Amur Maackia,Setback,Prospect Heights,Prospect Heights,14,POINT (105543.2 898479.6)
NA,Ridgeview Rd,6,2024,1,1 Blackgum,Tree Belt,Ridgeview Rd,Ridgeview Rd,2,POINT (98543.32 894035.7)
NA,Ridgeview Rd,6,2025,6,3 Blackgum<br>3 Exclamation Londonplane,"RoW, Tree Belt",Ridgeview Rd,Ridgeview Rd,2,POINT (98536.72 894035.8)
