Num,Street,Ward,Year,count,name_label,Location,address,Addr,person_id,wkt
168,South Main St,5,2024,2,2 Serviceberry,"Setback, Tree Belt",168 South Main St,168 South Main St,11,POINT (103879.4 898854.7)
172,Overlook Dr,6,2024,3,2 Ginkgo 'Princeton Sentry'<br>1 Swamp White Oak,Setback,172 Overlook Dr,172 Overlook Dr,3,POINT (102225.4 896861.1)
173,Bridge Rd,7,2024,1,1 Exclamation Londonplane,Tree Belt,173 Bridge Rd,173 Bridge Rd,6,POINT (103289.1 899939.5)
173,North Maple St,7,2023,1,1 Redbud,RoW,173 North Maple St,173 North Maple St,6,POINT (103486.1 899837.8)
175,North Elm St,1,2023,1,1 Exclamation London Plane Tree,Tree Belt,175 North Elm St,175 North Elm St,8,POINT (105040.5 898578.9)
179,Prospect Ave,1,2024,2,"1 Exclamation Londonplane<br>1 Redbud 'Minnesota Hardy""",Setback,179 Prospect Ave,179 Prospect Ave,14,POINT (105411.5 899090.9)
180,State St,4,2025,4,"2 Linden 'American Sentry'<br>1 Honey Locust ""Shademaster""<br>1 Serviceberry 'Autumn Brilliance'",Setback,180 State St,180 State St,1,POINT (106435.7 897696.7)
185,Locust St,5,2023,2,2 Elm 'Accolade',RoW,185 Locust St,185 Locust St,8,POINT (104326.8 898812)
187,Elm St,2,2024,2,2 Blackgum Wildfire,Tree Belt,187 Elm St,187 Elm St,7,POINT (105792.3 897460.1)
188,Bridge St,3,2024,1,1 Winter King Hawthorn,Tree Belt,188 Bridge St,188 Bridge St,13,POINT (107230.4 897907)
190,Industrial Dr,1,2023,1,1 Swamp White Oak,Tree Belt,190 Industrial Dr,190 Industrial Dr,13,POINT (106538.7 899112.7)
201,Nonotuck St,5,2023,2,1 Black Gum<br>1 Crab Apple,Setback,201 Nonotuck St,201 Nonotuck St,11,POINT (103380.9 898491.5)
205,North Maple St,7,2023,2,2 Kentucky Coffeetree Espresso,Tree Belt,205 North Maple St,205 North Maple St,6,POINT (103502.2 899971.4)
211,Spring Grove Ave,7,2025,1,"1 Redbud 'Minnesota Hardy""",Setback,211 Spring Grove Ave,211 Spring Grove Ave,6,POINT (103193.5 900120.6)
