Address,OWN1,Number,Under wire,Area,Location,Comments
36 Bedford Terr,SMITH COLLEGE,1,N,M,F right,NA
6 Bedford Terr,SMITH COLLEGE,1,N,L,NA,Between parking lot and sidewalk.  Steep slope.
8 Bedford Terr,SMITH COLLEGE,1,N,L,F,1 large or 2 medium
41 Elm St,SMITH COLLEGE,1,N,L,S,NA
Elm St,SMITH COLLEGE,1,N,S,F,Stoddard Hall
42 West St,SMITH COLLEGE,1,N,L,F,NA
43 West St,SMITH COLLEGE,2,N,S-M,F,NA
53 West St,SMITH COLLEGE,2,N,L,F,NA
