FID,UNIQUEID,SPP_COM,SPP_BOT,DBH,LOCATION,ADDRESS,STREET,ONSTR,X,Y,LATITUDE,LONGITUDE
535,JXS20161021142502,Vacant site medium,Vacant site medium,0.000000000000000,Street,119.000000000000000,PROSPECT ST,PROSPECT ST,106278.825988000000000,897753.850732999970000,42.324651093100002,-72.637073745099997
536,ZXR20161017134700,Vacant site small,Vacant site small,0.000000000000000,Street,38.000000000000000,WILLIAMS ST,WILLIAMS ST,107418.476448999990000,897002.270399000030000,42.318021249700003,-72.623128463599997
537,ZXR20161021133233,Vacant site large,Vacant site large,0.000000000000000,Street,37.000000000000000,HIGHLAND AVE,PARSONS ST,106927.242896000000000,897913.618301999990000,42.326166879699997,-72.629233399000000
538,ZXR20161021084332,Vacant site small,Vacant site small,0.000000000000000,Street,19.000000000000000,KING ST,KING ST,106843.095036000000000,897227.503054999980000,42.319980392200002,-72.630143938499998
539,ZXR20161021111910,Vacant site small,Vacant site small,0.000000000000000,Street,17.000000000000000,LINDEN ST,LINDEN ST,106940.757157999990000,897860.920781999940000,42.325694104000000,-72.629060989500005
540,ZXR20161017134831,Vacant site small,Vacant site small,0.000000000000000,Street,46.000000000000000,WILLIAMS ST,WILLIAMS ST,107425.089842000000000,896967.315775000020000,42.317707369200001,-72.623042661400007
541,JXS20161024142315,Vacant site small,Vacant site small,0.000000000000000,Street,125.000000000000000,CARLON DR,CARLON DR,106222.442337000000000,898722.083484999950000,42.333360396800003,-72.637914445600003
542,CXK20161018141059,Vacant site small,Vacant site small,0.000000000000000,Street,237.000000000000000,RIVERSIDE DR,RIVERSIDE DR,104283.094664000000000,897499.148812000060000,42.322116198499998,-72.661241960900000
543,ZXR20161013142108,Vacant site small,Vacant site small,0.000000000000000,Street,29.000000000000000,BUTLER PL,BUTLER PL,107298.421866000000000,897235.830700000050000,42.320109537599997,-72.624622061300002
544,ZXR20161013142407,Vacant site small,Vacant site small,0.000000000000000,Street,39.000000000000000,BUTLER PL,BUTLER PL,107347.835888999990000,897253.137926999950000,42.320271202500003,-72.624025424400003
545,ZXR20161013142724,Vacant site small,Vacant site small,0.000000000000000,Street,67.000000000000000,POMEROY TERR,POMEROY TERR,107378.120637000000000,897255.550041000010000,42.320296508799998,-72.623658447799997
546,ZXR20161013151512,Vacant site large,Vacant site large,0.000000000000000,Street,23.000000000000000,PHILLIPS PL,PHILLIPS PL,107173.837090000000000,897282.577850000000000,42.320515561000001,-72.626140790299999
